monthday|maxtemp|mintemp|rainfall
01-01|27.8|16.0|0.7
01-02|27.6|16.0|0.7
01-03|27.6|15.9|0.7
01-04|27.9|16.0|0.7
01-05|28.2|16.2|0.7
01-06|28.2|16.4|0.6
01-07|28.3|16.3|0.6
01-08|28.5|16.4|0.6
01-09|28.7|16.5|0.6
01-10|28.8|16.6|0.7
01-11|28.6|16.6|0.6
01-12|28.5|16.5|0.7
01-13|28.4|16.4|0.6
01-14|28.4|16.4|0.6
01-15|28.6|16.5|0.6
01-16|28.6|16.6|0.6
01-17|28.6|16.7|0.6
01-18|28.5|16.7|0.6
01-19|28.6|16.7|0.6
01-20|28.7|16.7|0.6
01-21|28.9|16.9|0.6
01-22|28.9|16.9|0.7
01-23|28.9|16.9|0.8
01-24|28.9|16.8|0.7
01-25|29.1|16.9|0.6
01-26|29.0|16.9|0.6
01-27|29.0|16.9|0.7
01-28|29.0|17.0|0.7
01-29|28.9|16.9|0.7
01-30|29.0|17.0|0.6
01-31|29.1|17.0|0.6
02-01|29.2|17.0|0.6
02-02|29.2|17.0|0.6
02-03|29.2|17.0|0.6
02-04|29.2|17.1|0.7
02-05|29.2|17.1|0.6
02-06|29.3|17.2|0.8
02-07|29.2|17.2|0.7
02-08|29.2|17.2|0.8
02-09|29.3|17.3|0.7
02-10|29.2|17.2|0.7
02-11|29.1|17.1|0.6
02-12|29.0|17.0|0.7
02-13|29.0|17.0|0.6
02-14|29.0|17.0|0.8
02-15|28.7|17.0|0.9
02-16|28.5|16.9|1.0
02-17|28.4|16.8|1.1
02-18|28.3|16.9|0.9
02-19|28.2|16.8|0.9
02-20|28.1|16.8|0.9
02-21|27.8|16.7|0.8
02-22|27.8|16.6|0.7
02-23|27.8|16.5|0.7
02-24|27.8|16.5|0.6
02-25|27.7|16.4|0.6
02-26|27.6|16.3|0.6
02-27|27.7|16.3|0.5
02-28|27.7|16.2|0.5
03-01|27.7|16.2|0.5
03-02|27.5|16.3|0.7
03-03|27.3|16.1|0.8
03-04|27.2|16.0|0.8
03-05|27.1|16.0|0.8
03-06|26.9|16.0|0.8
03-07|26.8|15.8|0.8
03-08|26.8|15.8|0.7
03-09|26.9|15.7|0.6
03-10|26.9|15.7|0.5
03-11|26.8|15.7|0.6
03-12|26.6|15.5|0.6
03-13|26.4|15.3|0.7
03-14|26.3|15.3|0.7
03-15|26.0|15.2|0.8
03-16|25.8|14.9|0.8
03-17|25.5|14.8|0.7
03-18|25.4|14.7|0.8
03-19|25.4|14.7|0.7
03-20|25.3|14.7|0.7
03-21|25.1|14.7|0.8
03-22|25.1|14.6|0.7
03-23|25.1|14.5|0.8
03-24|25.2|14.5|0.9
03-25|25.3|14.6|0.9
03-26|25.3|14.7|1.0
03-27|25.3|14.7|1.0
03-28|25.2|14.6|0.9
03-29|25.0|14.6|0.9
03-30|24.8|14.5|1.0
03-31|24.6|14.3|1.0
04-01|24.3|14.1|1.0
04-02|23.9|13.9|1.1
04-03|23.7|13.8|1.2
04-04|23.5|13.6|1.3
04-05|23.4|13.6|1.3
04-06|23.5|13.5|1.3
04-07|23.3|13.5|1.3
04-08|23.2|13.4|1.4
04-09|23.1|13.3|1.3
04-10|23.0|13.2|1.2
04-11|22.9|13.1|1.3
04-12|22.8|13.0|1.3
04-13|22.6|12.9|1.4
04-14|22.6|12.8|1.6
04-15|22.4|12.8|1.6
04-16|22.2|12.7|1.6
04-17|22.1|12.7|1.6
04-18|22.0|12.7|1.7
04-19|21.9|12.7|1.8
04-20|21.6|12.7|1.7
04-21|21.4|12.6|1.6
04-22|21.1|12.4|1.7
04-23|20.9|12.3|1.7
04-24|20.7|12.1|1.8
04-25|20.6|11.9|1.7
04-26|20.5|11.8|1.7
04-27|20.6|11.7|1.7
04-28|20.5|11.6|1.7
04-29|20.6|11.5|1.7
04-30|20.7|11.5|1.6
05-01|20.7|11.5|1.6
05-02|20.7|11.5|1.7
05-03|20.6|11.5|1.7
05-04|20.4|11.4|1.9
05-05|20.3|11.3|1.8
05-06|20.1|11.3|1.8
05-07|20.0|11.2|1.8
05-08|19.7|11.2|1.9
05-09|19.5|11.0|2.0
05-10|19.2|10.9|2.2
05-11|19.0|10.8|2.2
05-12|18.8|10.7|2.2
05-13|18.7|10.6|2.3
05-14|18.5|10.6|2.4
05-15|18.3|10.4|2.5
05-16|18.2|10.3|2.4
05-17|18.0|10.2|2.3
05-18|18.0|10.2|2.2
05-19|17.9|10.2|2.2
05-20|17.8|10.1|2.2
05-21|17.7|9.9|2.2
05-22|17.6|9.8|2.1
05-23|17.6|9.7|2.3
05-24|17.6|9.6|2.2
05-25|17.5|9.6|2.2
05-26|17.5|9.5|2.2
05-27|17.5|9.5|2.4
05-28|17.5|9.6|2.5
05-29|17.4|9.6|2.6
05-30|17.3|9.6|2.6
05-31|17.1|9.5|2.6
06-01|16.9|9.5|2.6
06-02|16.8|9.4|2.6
06-03|16.6|9.2|2.5
06-04|16.5|9.0|2.3
06-05|16.4|8.9|2.2
06-06|16.3|8.9|2.1
06-07|16.3|8.8|2.2
06-08|16.2|8.8|2.2
06-09|16.2|8.8|2.4
06-10|16.2|8.7|2.4
06-11|16.1|8.7|2.4
06-12|16.0|8.7|2.4
06-13|15.9|8.6|2.5
06-14|15.9|8.6|2.5
06-15|15.7|8.5|2.5
06-16|15.7|8.5|2.5
06-17|15.5|8.4|2.5
06-18|15.4|8.4|2.6
06-19|15.3|8.3|2.6
06-20|15.2|8.1|2.6
06-21|15.2|8.0|2.6
06-22|15.1|7.9|2.5
06-23|15.1|7.9|2.4
06-24|15.1|7.8|2.4
06-25|15.1|7.7|2.4
06-26|15.2|7.7|2.2
06-27|15.2|7.8|2.2
06-28|15.3|7.8|2.1
06-29|15.3|7.7|2.0
06-30|15.3|7.8|2.1
07-01|15.2|7.8|2.1
07-02|15.1|7.7|2.1
07-03|15.0|7.7|2.3
07-04|15.0|7.6|2.3
07-05|14.9|7.5|2.3
07-06|14.9|7.5|2.3
07-07|14.8|7.4|2.2
07-08|14.7|7.3|2.3
07-09|14.8|7.3|2.3
07-10|14.8|7.3|2.1
07-11|14.8|7.4|2.1
07-12|14.8|7.4|2.1
07-13|14.8|7.5|2.2
07-14|14.8|7.5|2.2
07-15|14.7|7.5|2.2
07-16|14.7|7.5|2.2
07-17|14.7|7.5|2.3
07-18|14.7|7.5|2.3
07-19|14.7|7.5|2.2
07-20|14.7|7.4|2.2
07-21|14.8|7.4|2.2
07-22|14.9|7.4|2.1
07-23|14.9|7.4|2.1
07-24|15.0|7.5|2.1
07-25|15.1|7.5|2.0
07-26|15.2|7.6|2.0
07-27|15.3|7.7|1.9
07-28|15.3|7.8|1.9
07-29|15.2|7.8|2.0
07-30|15.2|7.8|2.1
07-31|15.1|7.7|2.0
08-01|15.1|7.7|2.1
08-02|15.1|7.6|2.1
08-03|15.0|7.6|2.1
08-04|15.2|7.5|2.2
08-05|15.3|7.6|2.3
08-06|15.4|7.6|2.2
08-07|15.5|7.8|2.1
08-08|15.6|7.8|2.2
08-09|15.6|7.8|2.2
08-10|15.7|7.8|2.2
08-11|15.8|7.9|2.1
08-12|15.8|7.9|2.1
08-13|15.8|7.9|2.0
08-14|15.9|7.9|1.9
08-15|16.0|7.9|1.8
08-16|16.2|8.0|1.8
