location|monthday|maxtemp|mintemp|rainfall
Adelaide|2018-11-02|23.0|12.4|1.2
Adelaide|2018-11-03|23.1|12.2|1.2
Adelaide|2018-11-04|23.3|12.3|1.2
Adelaide|2018-11-05|23.4|12.4|1.2
Adelaide|2018-11-06|23.3|12.5|1.1
Adelaide|2018-11-07|23.3|12.5|1.0
Adelaide|2018-11-08|23.4|12.5|1.0
Adelaide|2018-11-09|23.7|12.6|1.0
Adelaide|2018-11-10|23.8|12.8|1.0
Adelaide|2018-11-11|24.0|12.9|0.9
Adelaide|2018-11-12|24.1|12.9|0.9
Adelaide|2018-11-13|24.3|13.0|1.0
Adelaide|2018-11-14|24.3|13.1|1.1
Adelaide|2018-11-15|24.4|13.2|1.2
Adelaide|2018-11-16|24.5|13.2|1.2
Adelaide|2018-11-17|24.5|13.2|1.2
Adelaide|2018-11-18|24.5|13.3|1.2
Adelaide|2018-11-19|24.5|13.3|1.1
Adelaide|2018-11-20|24.5|13.3|1.0
Adelaide|2018-11-21|24.8|13.4|1.0
Adelaide|2018-11-22|25.0|13.5|1.0
Adelaide|2018-11-23|25.1|13.6|0.9
Adelaide|2018-11-24|25.3|13.7|0.9
Adelaide|2018-11-25|25.5|13.9|0.9
Adelaide|2018-11-26|25.7|14.0|0.8
Adelaide|2018-11-27|25.9|14.2|0.8
Adelaide|2018-11-28|25.9|14.3|0.8
Adelaide|2018-11-29|25.8|14.3|0.8
Adelaide|2018-11-30|25.7|14.2|0.8
Adelaide|2018-12-01|25.7|14.2|0.8
Adelaide|2018-12-02|25.8|14.3|0.8
Adelaide|2018-12-03|25.8|14.2|0.9
Adelaide|2018-12-04|25.8|14.2|0.9
Adelaide|2018-12-05|25.8|14.1|0.8
Adelaide|2018-12-06|26.0|14.3|0.7
Adelaide|2018-12-07|26.3|14.4|0.7
Adelaide|2018-12-08|26.4|14.6|0.7
Adelaide|2018-12-09|26.5|14.7|0.8
Adelaide|2018-12-10|26.6|14.9|0.7
Adelaide|2018-12-11|26.6|15.0|0.7
Adelaide|2018-12-12|26.5|15.1|0.8
Adelaide|2018-12-13|26.4|15.1|0.8
