location|monthday|maxtemp|mintemp|rainfall
Melbourne|2018-06-07|14.2|6.2|1.3
Melbourne|2018-06-08|14.1|6.2|1.4
Melbourne|2018-06-09|14.1|6.2|1.3
Melbourne|2018-06-10|14.1|6.2|1.3
Melbourne|2018-06-11|14.0|6.2|1.3
Melbourne|2018-06-12|13.9|6.2|1.4
Melbourne|2018-06-13|13.9|6.1|1.3
Melbourne|2018-06-14|13.8|6.1|1.2
Melbourne|2018-06-15|13.8|6.1|1.3
Melbourne|2018-06-16|13.7|6.1|1.3
Melbourne|2018-06-17|13.5|6.0|1.3
Melbourne|2018-06-18|13.4|6.0|1.4
Melbourne|2018-06-19|13.3|5.9|1.4
Melbourne|2018-06-20|13.3|6.0|1.4
Melbourne|2018-06-21|13.2|5.9|1.4
Melbourne|2018-06-22|13.2|5.8|1.4
Melbourne|2018-06-23|13.2|5.6|1.4
Melbourne|2018-06-24|13.2|5.6|1.3
Melbourne|2018-06-25|13.3|5.5|1.1
Melbourne|2018-06-26|13.3|5.5|1.0
Melbourne|2018-06-27|13.3|5.5|1.0
Melbourne|2018-06-28|13.3|5.5|1.0
Melbourne|2018-06-29|13.2|5.5|1.1
Melbourne|2018-06-30|13.2|5.6|1.1
Melbourne|2018-07-01|13.1|5.7|1.3
Melbourne|2018-07-02|13.1|5.8|1.5
Melbourne|2018-07-03|13.1|5.9|1.5
Melbourne|2018-07-04|13.0|5.8|1.5
Melbourne|2018-07-05|12.9|5.6|1.5
Melbourne|2018-07-06|12.8|5.5|1.4
Melbourne|2018-07-07|12.8|5.2|1.3
Melbourne|2018-07-08|12.7|5.0|1.2
Melbourne|2018-07-09|12.7|4.9|1.1
Melbourne|2018-07-10|12.7|4.9|1.2
Melbourne|2018-07-11|12.7|5.0|1.4
Melbourne|2018-07-12|12.7|5.1|1.4
Melbourne|2018-07-13|12.7|5.2|1.4
Melbourne|2018-07-14|12.7|5.3|1.5
Melbourne|2018-07-15|12.7|5.3|1.5
Melbourne|2018-07-16|12.8|5.3|1.5
Melbourne|2018-07-17|12.8|5.1|1.5
Melbourne|2018-07-18|12.9|5.0|1.4
Melbourne|2018-07-19|13.0|5.0|1.5
Melbourne|2018-07-20|12.9|5.0|1.5
Melbourne|2018-07-21|13.0|5.1|1.5
Melbourne|2018-07-22|13.1|5.2|1.5
Melbourne|2018-07-23|13.1|5.2|1.4
Melbourne|2018-07-24|13.2|5.3|1.3
Melbourne|2018-07-25|13.4|5.4|1.2
Melbourne|2018-07-26|13.5|5.6|1.3
Melbourne|2018-07-27|13.8|5.7|1.3
Melbourne|2018-07-28|14.0|5.8|1.2
Melbourne|2018-07-29|14.0|5.8|1.2
Melbourne|2018-07-30|14.1|5.9|1.3
Melbourne|2018-07-31|14.1|6.0|1.4
Melbourne|2018-08-01|14.0|5.9|1.5
Melbourne|2018-08-02|13.9|5.7|1.4
Melbourne|2018-08-03|13.9|5.6|1.5
Melbourne|2018-08-04|13.8|5.5|1.6
Melbourne|2018-08-05|13.8|5.5|1.6
Melbourne|2018-08-06|13.7|5.4|1.6
Melbourne|2018-08-07|13.7|5.4|1.5
Melbourne|2018-08-08|13.6|5.3|1.6
Melbourne|2018-08-09|13.7|5.4|1.7
Melbourne|2018-08-10|13.8|5.4|1.7
Melbourne|2018-08-11|13.8|5.5|1.5
Melbourne|2018-08-12|13.9|5.5|1.6
Melbourne|2018-08-13|13.9|5.5|1.6
Melbourne|2018-08-14|14.0|5.5|1.7
Melbourne|2018-08-15|14.2|5.6|1.6
Melbourne|2018-08-16|14.3|5.7|1.4
Melbourne|2018-08-17|14.3|5.8|1.4
Melbourne|2018-08-18|14.4|5.8|1.6
Melbourne|2018-08-19|14.5|5.8|1.4
Melbourne|2018-08-20|14.7|5.9|1.5
Melbourne|2018-08-21|14.7|5.8|1.5
Melbourne|2018-08-22|14.8|5.8|1.5
Melbourne|2018-08-23|14.8|5.8|1.4
Melbourne|2018-08-24|14.9|5.8|1.5
Melbourne|2018-08-25|15.1|5.8|1.4
Melbourne|2018-08-26|15.1|5.8|1.5
Melbourne|2018-08-27|15.2|6.0|1.4
Melbourne|2018-08-28|15.3|6.0|1.3
Melbourne|2018-08-29|15.4|6.0|1.4
Melbourne|2018-08-30|15.5|6.1|1.5
Melbourne|2018-08-31|15.6|6.2|1.5
Melbourne|2018-09-01|15.6|6.1|1.5
Melbourne|2018-09-02|15.8|6.2|1.4
Melbourne|2018-09-03|15.9|6.2|1.3
Melbourne|2018-09-04|16.0|6.2|1.4
Melbourne|2018-09-05|16.2|6.3|1.4
Melbourne|2018-09-06|16.3|6.3|1.3
Melbourne|2018-09-07|16.4|6.4|1.4
Melbourne|2018-09-08|16.5|6.5|1.4
Melbourne|2018-09-09|16.5|6.6|1.4
Melbourne|2018-09-10|16.7|6.7|1.7
Melbourne|2018-09-11|16.8|6.8|1.8
Melbourne|2018-09-12|16.7|6.8|1.8
Melbourne|2018-09-13|16.7|6.8|1.9
