monthday|maxtemp|mintemp|rainfall
01-02|25.8|18.5|2.5
01-03|25.9|18.5|2.6
01-04|25.9|18.5|2.6
01-05|25.9|18.6|2.7
01-06|25.9|18.5|2.7
01-07|25.9|18.5|2.7
01-08|26.0|18.6|2.6
01-09|25.9|18.6|2.9
01-10|26.0|18.7|3.0
01-11|26.0|18.7|3.1
01-12|26.0|18.7|3.1
01-13|26.0|18.8|3.1
01-14|26.0|18.8|3.3
01-15|25.9|18.7|3.5
01-16|25.9|18.7|3.4
01-17|25.9|18.7|3.1
01-18|25.9|18.7|3.2
01-19|25.9|18.7|3.5
01-20|25.9|18.8|3.9
01-21|26.0|18.8|3.8
01-22|26.0|18.9|3.6
01-23|26.1|19.0|3.6
01-24|26.1|19.0|4.0
01-25|26.1|19.0|4.0
01-26|26.2|19.0|3.8
01-27|26.2|19.0|3.5
01-28|26.2|19.0|3.7
01-29|26.1|19.0|3.9
01-30|26.0|18.9|4.0
01-31|26.1|18.9|4.0
02-01|26.0|18.9|3.9
02-02|26.0|18.9|3.9
02-03|26.0|18.9|4.0
02-04|25.9|18.8|4.0
02-05|26.0|18.9|4.1
02-06|26.0|18.9|4.3
02-07|26.0|18.9|4.4
02-08|25.9|18.9|4.7
02-09|25.9|18.9|4.8
02-10|25.8|18.9|4.9
02-11|25.9|18.9|4.8
02-12|25.8|18.9|4.6
02-13|25.8|18.9|4.4
02-14|25.8|18.9|4.3
02-15|25.9|19.0|4.2
02-16|25.9|19.0|4.1
02-17|25.9|19.0|4.0
02-18|25.9|19.0|4.1
02-19|26.0|19.0|4.2
02-20|25.9|19.0|4.0
02-21|25.9|19.0|3.8
02-22|25.8|18.9|3.9
02-23|25.7|18.8|4.1
02-24|25.7|18.7|3.9
02-25|25.6|18.7|3.7
02-26|25.5|18.6|3.8
02-27|25.4|18.5|3.9
02-28|25.4|18.5|4.0
03-01|25.4|18.5|4.0
03-02|25.4|18.5|3.8
03-03|25.4|18.5|3.9
03-04|25.3|18.4|4.1
03-05|25.3|18.4|4.2
03-06|25.4|18.4|4.2
03-07|25.3|18.3|4.2
03-08|25.3|18.2|4.3
03-09|25.2|18.1|4.4
03-10|25.2|18.0|4.2
03-11|25.1|18.0|3.9
03-12|25.0|17.9|3.9
03-13|24.9|17.8|4.1
03-14|24.8|17.7|4.0
03-15|24.8|17.6|3.9
03-16|24.7|17.6|4.0
03-17|24.7|17.5|4.4
03-18|24.6|17.5|4.8
03-19|24.6|17.4|4.7
03-20|24.6|17.3|4.4
03-21|24.6|17.2|4.7
03-22|24.6|17.2|4.7
03-23|24.6|17.1|4.7
03-24|24.5|17.0|4.3
03-25|24.5|17.0|4.3
03-26|24.4|17.0|4.3
03-27|24.4|16.9|4.2
03-28|24.3|16.9|4.1
03-29|24.2|16.8|3.9
03-30|24.1|16.7|3.8
03-31|24.0|16.5|4.0
04-01|23.8|16.4|4.2
04-02|23.8|16.3|4.3
04-03|23.6|16.2|4.5
04-04|23.6|16.1|4.5
04-05|23.4|16.0|4.5
04-06|23.4|15.9|4.5
04-07|23.3|15.8|4.3
04-08|23.3|15.6|4.2
04-09|23.2|15.5|4.2
04-10|23.1|15.4|3.9
04-11|22.9|15.2|3.9
04-12|22.8|15.1|3.8
04-13|22.7|15.0|4.0
04-14|22.6|14.9|4.1
04-15|22.5|14.8|3.9
04-16|22.4|14.7|3.9
04-17|22.4|14.6|4.0
04-18|22.3|14.5|4.1
04-19|22.2|14.4|4.2
04-20|22.1|14.3|4.1
04-21|22.1|14.2|4.0
04-22|22.0|14.1|4.0
04-23|21.8|13.9|3.9
04-24|21.7|13.7|3.9
04-25|21.5|13.6|4.2
04-26|21.5|13.4|4.4
04-27|21.4|13.3|4.6
04-28|21.2|13.3|4.9
04-29|21.1|13.2|5.0
04-30|21.1|13.2|5.2
05-01|21.0|13.1|5.1
05-02|21.0|13.0|4.7
05-03|20.9|12.9|4.6
05-04|20.8|12.8|4.5
05-05|20.7|12.7|4.3
05-06|20.6|12.6|3.9
05-07|20.5|12.3|3.6
05-08|20.4|12.2|3.5
05-09|20.3|12.1|3.4
05-10|20.2|12.1|3.2
05-11|20.1|12.0|3.1
05-12|20.0|11.9|3.2
05-13|19.9|11.8|3.3
05-14|19.8|11.8|3.4
05-15|19.6|11.7|3.4
05-16|19.5|11.6|3.5
05-17|19.3|11.5|3.6
05-18|19.2|11.4|3.7
05-19|19.1|11.3|3.6
05-20|19.0|11.3|3.5
05-21|18.9|11.1|3.5
05-22|18.8|11.0|3.8
05-23|18.7|10.9|4.1
05-24|18.6|10.8|3.9
05-25|18.5|10.7|4.0
05-26|18.4|10.6|4.1
05-27|18.3|10.5|4.2
05-28|18.2|10.4|4.3
05-29|18.2|10.3|4.0
05-30|18.1|10.2|3.7
05-31|18.0|10.1|3.9
06-01|17.9|10.1|3.9
06-02|17.8|10.1|4.1
06-03|17.8|10.0|4.3
06-04|17.7|10.0|4.5
06-05|17.6|9.9|4.6
06-06|17.6|9.8|4.8
06-07|17.5|9.8|5.0
06-08|17.4|9.7|5.1
06-09|17.3|9.7|5.2
06-10|17.2|9.6|5.1
06-11|17.2|9.5|4.7
06-12|17.1|9.5|5.0
06-13|17.0|9.5|5.2
06-14|17.0|9.5|5.0
06-15|16.9|9.4|4.5
06-16|17.0|9.4|4.3
06-17|16.9|9.4|4.4
06-18|16.9|9.4|4.6
06-19|16.8|9.3|4.5
06-20|16.8|9.2|4.4
06-21|16.7|9.1|4.4
06-22|16.7|9.0|4.7
06-23|16.6|8.9|4.5
06-24|16.5|8.8|4.5
06-25|16.4|8.7|4.4
06-26|16.4|8.6|4.1
06-27|16.4|8.5|3.7
06-28|16.4|8.5|3.5
06-29|16.3|8.4|3.4
06-30|16.4|8.4|3.3
07-01|16.4|8.3|3.0
07-02|16.4|8.3|2.9
07-03|16.4|8.2|2.9
07-04|16.4|8.2|2.8
07-05|16.3|8.1|2.7
07-06|16.3|8.0|2.7
07-07|16.2|8.0|2.7
07-08|16.2|7.9|2.8
07-09|16.1|7.9|3.0
07-10|16.1|7.9|2.9
07-11|16.1|7.9|3.0
07-12|16.2|8.0|3.1
07-13|16.2|8.0|3.1
07-14|16.3|8.0|2.8
07-15|16.3|8.0|2.7
07-16|16.3|7.9|2.5
07-17|16.3|7.9|2.6
07-18|16.3|7.9|2.7
07-19|16.3|8.0|2.7
07-20|16.3|8.0|2.9
07-21|16.3|8.0|3.4
07-22|16.4|8.1|3.8
07-23|16.4|8.2|4.2
07-24|16.4|8.2|4.2
07-25|16.4|8.2|4.2
07-26|16.5|8.3|4.2
07-27|16.6|8.3|3.9
07-28|16.7|8.3|3.4
07-29|16.8|8.3|3.2
07-30|16.9|8.2|2.9
07-31|16.9|8.2|2.9
08-01|17.0|8.2|2.7
08-02|17.0|8.2|2.6
08-03|17.0|8.3|2.9
08-04|17.0|8.3|3.2
08-05|17.1|8.4|3.2
08-06|17.1|8.4|2.9
08-07|17.2|8.4|2.7
08-08|17.3|8.5|2.7
08-09|17.4|8.5|2.7
08-10|17.5|8.6|2.3
08-11|17.6|8.6|2.0
08-12|17.7|8.6|1.9
08-13|17.8|8.7|1.9
08-14|17.9|8.7|2.0
08-15|17.9|8.7|2.0
08-16|17.9|8.8|2.0
08-17|18.0|8.9|2.2
08-18|18.1|9.0|2.4
08-19|18.1|9.1|2.5
08-20|18.1|9.2|2.7
08-21|18.2|9.3|2.8
08-22|18.2|9.4|3.0
08-23|18.3|9.4|3.0
08-24|18.3|9.5|2.8
08-25|18.4|9.6|2.8
08-26|18.4|9.7|2.7
08-27|18.6|9.8|2.6
08-28|18.7|9.8|2.6
08-29|18.8|9.9|2.3
08-30|18.8|10.0|2.2
08-31|18.9|10.0|2.2
09-01|19.0|10.1|2.2
09-02|19.1|10.1|2.2
09-03|19.1|10.2|2.2
09-04|19.2|10.2|2.1
09-05|19.3|10.3|2.1
09-06|19.4|10.4|2.1
09-07|19.5|10.5|2.2
09-08|19.5|10.6|2.2
